skill_id,name,description,estimated_hours,roadmap_ids
eefeea59-0f0d-467e-a540-0c4b98cd185a,"High Performance & Concurrency Capstone (std::jthread, SIMD)","Multithreading with std::jthread, mutexes, atomic operations, lock-free queues, profiling with Valgrind/GDB, and game engine / networking capstone.",26,cf08b1ff-e906-4d7a-a007-b0a40f223c79
13b0df20-bea5-47ca-8972-d58df8a4bcb6,Fundamentals & Core Theory of High Performance & Concurrency Capstone,"Understand the core architecture, mental model, and foundational principles behind High Performance & Concurrency Capstone (std::jthread, SIMD).",7,cf08b1ff-e906-4d7a-a007-b0a40f223c79
ace74c8e-24e5-4807-86d6-eaaf3b007716,Hands-On Implementation & Patterns,"Build practical working examples, leverage industry-standard design patterns, and write clean, maintainable code.",9,cf08b1ff-e906-4d7a-a007-b0a40f223c79
1c58c7ad-555f-4794-9bad-963c44e9b6dd,Alternative Patterns & Tooling,"Explore alternative frameworks, libraries, or architectural approaches to solve the same problem.",5,cf08b1ff-e906-4d7a-a007-b0a40f223c79
f2d99856-cc1a-45b8-afdd-fcfc44a4480a,Mini-Project & Practical Checkpoint,"Assemble everything learned in this module into a self-contained, working portfolio artifact.",5,cf08b1ff-e906-4d7a-a007-b0a40f223c79
fd03d17c-b40b-443e-8681-ba1636602bcb,C++ Foundations & Compilation Pipeline,"Preprocessor directives, compilation vs linking, header files, header guards, namespaces, primitive types, and I/O streams.",16,242c6338-04a7-4d37-ba3f-e03949bb54d3
51d8d1aa-1c06-47a8-acce-58cd80e21aaf,Build Systems & CMake Basics,"CMakeLists.txt, target_link_libraries, compiler flags (-Wall, -Wextra), and debug vs release builds.",5,242c6338-04a7-4d37-ba3f-e03949bb54d3
ceadb980-5d09-49cd-8562-c2794a38f2b8,"Functions, Pass-by-Value vs Pass-by-Reference","Constant references (const T&), function overloading, default arguments, and inline functions.",5,242c6338-04a7-4d37-ba3f-e03949bb54d3
b5a1de41-5b48-4104-af0c-a88748b2aaf4,"Memory Management, Pointers & References","Stack vs Heap memory, raw pointers, pointer arithmetic, memory alignment, dynamic allocation (new/delete), and avoiding memory leaks.",20,242c6338-04a7-4d37-ba3f-e03949bb54d3
1c9dea5d-4077-43cd-a99e-62720e7f9a78,"RAII & Smart Pointers (std::unique_ptr, std::shared_ptr)","Resource Acquisition Is Initialization (RAII), std::unique_ptr, std::shared_ptr, std::weak_ptr, and custom deleters.",18,242c6338-04a7-4d37-ba3f-e03949bb54d3
68f3df22-4fce-4921-bcaf-2a99249b47b4,Object-Oriented C++ & Rule of Zero/Three/Five,"Constructors, Destructors, Copy/Move constructors, Move assignment, virtual functions, vtables, and abstract interfaces.",22,242c6338-04a7-4d37-ba3f-e03949bb54d3
effb078a-2ac9-46f1-8c44-d5699abe0aaf,"STL Containers & Algorithms (vector, map, iterators)","std::vector, std::array, std::unordered_map, std::span, iterators, std::sort, std::find, and lambda expressions.",20,242c6338-04a7-4d37-ba3f-e03949bb54d3
8d5c6a29-fbc5-455b-a330-46a291013419,"Templates, Metaprogramming & C++20 Concepts","Function/class templates, template specialization, constexpr, type traits, SFINAE, and C++20 Concepts/Requires clauses.",24,242c6338-04a7-4d37-ba3f-e03949bb54d3
0c578366-e97d-4891-974a-a4271380c61f,"High Performance & Concurrency Capstone (std::jthread, SIMD)","Multithreading with std::jthread, mutexes, atomic operations, lock-free queues, profiling with Valgrind/GDB, and game engine / networking capstone.",26,242c6338-04a7-4d37-ba3f-e03949bb54d3
337b84a5-ac0c-42bf-917b-cf486520f005,Python Core Syntax & Fundamentals,"Variables, primitive types, dynamic typing, control flow, loops, functions, and standard I/O in Python 3.12+.",14,7fa488b0-b375-4f18-8e75-08fc45142754
11f7636d-1407-42f9-aa37-733beae8b3bd,"Variables, Type Hinting & Operators","Primitive types, type hints, string formatting, arithmetic and bitwise operators.",4,7fa488b0-b375-4f18-8e75-08fc45142754
b3a4bec0-f11a-4104-8bf6-becb44a9ff5d,"Control Flow, Loops & Match-Case","If-elif-else conditionals, for/while loops, and Python 3.10+ match-case pattern matching.",5,7fa488b0-b375-4f18-8e75-08fc45142754
75480940-1646-4970-ac8d-ef477fb98cff,"Functions, Scopes & *args, **kwargs","LEGB variable scoping, default parameters, variable-length arguments, and lambda functions.",5,7fa488b0-b375-4f18-8e75-08fc45142754
2d30a8c1-bcbd-4e34-91f4-f41e4518a4cc,Data Structures & Collections Module,"Lists, Tuples, Dictionaries, Sets, list comprehensions, and high-performance collections (deque, Counter, defaultdict).",16,7fa488b0-b375-4f18-8e75-08fc45142754
ec043c5b-b495-448e-b6fc-1d39bc910852,List & Dictionary Comprehensions,"Write concise, idiomatic Python expressions with filtering and transformations.",5,7fa488b0-b375-4f18-8e75-08fc45142754
d03cecc0-4681-468b-b925-dd2ee3dca89c,"Iterators, Generators & yield","Lazy evaluation, generator functions, and the iterator protocol.",6,7fa488b0-b375-4f18-8e75-08fc45142754
283713a4-1fe9-4904-995c-a3850fcb59d9,"Collections Module (Counter, defaultdict, deque)",Optimized datatypes for complex frequency counts and double-ended queues.,5,7fa488b0-b375-4f18-8e75-08fc45142754
7c0e7115-98a5-4a48-83aa-9f45a24de995,Object-Oriented Python (OOP) & Dunder Methods,"Classes, encapsulation, inheritance, polymorphism, dataclasses, properties, and special dunder methods.",18,7fa488b0-b375-4f18-8e75-08fc45142754
26c088fb-3522-4a48-bd6f-4f99106c2a1f,"Classes, @property, and Class/Static Methods",Encapsulation with getters/setters and classmethod/staticmethod decorators.,6,7fa488b0-b375-4f18-8e75-08fc45142754
cc459482-7c80-4a99-a7a4-de2f41e9b2c1,"Special Dunder Methods (__str__, __repr__, __enter__)","Operator overloading, custom string representations, and custom Context Managers.",6,7fa488b0-b375-4f18-8e75-08fc45142754
86453759-8866-45a1-8741-d5bd363a2010,Python 3.7+ Dataclasses,Eliminate boilerplate for data-holding classes with @dataclass.,6,7fa488b0-b375-4f18-8e75-08fc45142754
5795483a-1305-4059-a47a-d09dc0c327e2,"Environments, Packaging & Pytest","Dependency management with uv / Poetry / venv, package building, and writing comprehensive tests with Pytest.",14,7fa488b0-b375-4f18-8e75-08fc45142754
920a5925-f0d0-4e68-b09d-3d07917f485b,Asynchronous Programming (AsyncIO) & Concurrency,"Event loops, async/await coroutines, Tasks, ThreadPoolExecutor vs ProcessPoolExecutor, and the GIL.",18,7fa488b0-b375-4f18-8e75-08fc45142754
fdca8858-f3dd-4511-8e21-e0c2cfbfae03,Web APIs with FastAPI & Database ORMs,"Design asynchronous REST APIs with FastAPI, Pydantic validation, SQLAlchemy 2.0 ORM, and PostgreSQL.",24,7fa488b0-b375-4f18-8e75-08fc45142754
039fff12-1a12-4c85-8311-ac91661ae29e,Capstone: Production Async Microservice & Docker Deployment,"Ship a production-grade async Python microservice with Redis caching, auth, and automated testing matching Python Developer standards.",25,7fa488b0-b375-4f18-8e75-08fc45142754
c887843b-c9af-4d1c-a58a-61c63af65010,Core Foundations & SQL Essentials,"Master relational data modeling, complex querying, window functions, and database performance optimization.",15,f663b424-d6a1-4996-8cc6-1465085a9919
de68f93f-5b58-4984-8161-e7a349debb86,Fundamentals & Core Theory of Core Foundations & SQL Essentials,"Understand the core architecture, mental model, and foundational principles behind Core Foundations & SQL Essentials.",4,f663b424-d6a1-4996-8cc6-1465085a9919
f90f51f1-9938-4103-b2e8-90d7e6afc054,Hands-On Implementation & Patterns,"Build practical working examples, leverage industry-standard design patterns, and write clean, maintainable code.",5,f663b424-d6a1-4996-8cc6-1465085a9919
7ea9c7ad-3cb6-4ab3-aa04-4b58435b40ab,Advanced Edge Cases & Performance Optimization,"Diagnose common bugs, optimize performance metrics, handle edge cases, and apply defensive coding practices.",3,f663b424-d6a1-4996-8cc6-1465085a9919
96b93271-1687-431e-bb5a-c4abad38483a,Mini-Project & Practical Checkpoint,"Assemble everything learned in this module into a self-contained, working portfolio artifact.",3,f663b424-d6a1-4996-8cc6-1465085a9919
e557b111-1617-41a7-8373-48ddbc51a7ef,Python for Data Analysis & Wrangling,Write robust Python scripts using NumPy for vectorized computation and Pandas for tabular transformation.,20,f663b424-d6a1-4996-8cc6-1465085a9919
8d92923f-c3cb-457b-8f5d-ba421d4d53e5,Fundamentals & Core Theory of Python for Data Analysis & Wrangling,"Understand the core architecture, mental model, and foundational principles behind Python for Data Analysis & Wrangling.",5,f663b424-d6a1-4996-8cc6-1465085a9919
ef04462d-10fb-43a6-856c-d3369f804621,Hands-On Implementation & Patterns,"Build practical working examples, leverage industry-standard design patterns, and write clean, maintainable code.",7,f663b424-d6a1-4996-8cc6-1465085a9919
b7c6c908-a3b2-4369-b43d-fa564f16f1db,Advanced Edge Cases & Performance Optimization,"Diagnose common bugs, optimize performance metrics, handle edge cases, and apply defensive coding practices.",4,f663b424-d6a1-4996-8cc6-1465085a9919
872611b7-5125-49d4-8fd0-324e32160ee4,Mini-Project & Practical Checkpoint,"Assemble everything learned in this module into a self-contained, working portfolio artifact.",4,f663b424-d6a1-4996-8cc6-1465085a9919
eb676638-22f5-40f6-b4ef-9990d977bd2e,Exploratory Data Analysis & Visualization,"Design insightful visual narratives using Matplotlib, Seaborn, Plotly, and BI tools like PowerBI / Tableau.",16,f663b424-d6a1-4996-8cc6-1465085a9919
d3e584d1-fe04-4ba4-ba1b-891eaae622e7,Statistical Inference & Hypothesis Testing,"Apply probability distributions, confidence intervals, A/B testing, regression analysis, and significance testing.",18,f663b424-d6a1-4996-8cc6-1465085a9919
5b5e1e26-a2d9-4885-badb-197c542c3057,"Data Pipelines & Warehousing (dbt, BigQuery/Snowflake)","Build automated ELT pipelines, staging models, lineage graphs, and dimensional data marts.",22,f663b424-d6a1-4996-8cc6-1465085a9919
b0eb8d4e-42a3-4f56-a9e3-28970e45937e,Capstone: End-to-End Analytics Dashboard & Insight Report,Execute a production-grade analytical project tailored to junior software developer requirements with interactive dashboards and executive summaries.,25,f663b424-d6a1-4996-8cc6-1465085a9919
fe4a6c41-67f4-4169-8d8e-43777f2cb0c3,"Modern Web Foundations (HTML5, Semantic UI, Responsive CSS)","Build accessible, semantic markup with CSS Flexbox, Grid, custom properties, and responsive design patterns.",14,f6731cf3-d5de-416a-a80c-9e7339397f04
334012db-d54f-4924-b309-d89ca3405169,"Modern JavaScript Deep-Dive (ES6+, DOM, Asynchronous JS)","Master closures, event loop, Promises, async/await, fetch API, modular architecture, and DOM manipulation.",22,f6731cf3-d5de-416a-a80c-9e7339397f04
caacfcdf-e378-4ef6-81b0-6f43c219bd54,Frontend Framework & State Management (React / Vue / Svelte),"Component lifecycles, custom hooks, reactive state, declarative routing, and scalable client architecture.",28,f6731cf3-d5de-416a-a80c-9e7339397f04
12036e26-578c-402a-b820-eff8fd41eed9,Backend API Engineering & Database Architecture,"Design REST/GraphQL services, auth middleware (JWT/OAuth), relational databases (PostgreSQL), and ORM patterns.",26,f6731cf3-d5de-416a-a80c-9e7339397f04
f1f40e3a-d794-49d1-90b2-330311c77a66,"Testing, CI/CD & Production Deployment","Implement unit/integration tests with Vitest/Jest, GitHub Actions CI/CD, Docker containers, and Cloud hosting.",18,f6731cf3-d5de-416a-a80c-9e7339397f04
cfca3919-7264-4540-a262-f1d0da79fecc,Full-Stack Capstone Application & Portfolio Showcase,"Ship a production-grade application with authentication, real-time data, and payment/APIs meeting SOC Security Analyst industry standards.",30,f6731cf3-d5de-416a-a80c-9e7339397f04
node_fe_1,Advanced JavaScript & Async Programming,"Master closures, event loop, Promises, Async/Await, and modern ES2024+ features.",15,rdm_demo_frontend_001
node_fe_1_1,"Closures, Scope & Prototypes","Understand lexical environment, closure memory mechanics, and prototype inheritance.",5,rdm_demo_frontend_001
node_fe_1_2,Asynchronous JavaScript & Event Loop,"Microtasks vs Macrotasks, Promises, and robust async error handling.",10,rdm_demo_frontend_001
node_fe_2,React 19 & Component Architecture,"Deep dive into Hooks, Server Components, suspense, and scalable component compositions.",25,rdm_demo_frontend_001
node_fe_2_1,"Hooks Mechanics (useState, useEffect, useMemo, custom hooks)","State lifecycle, dependency arrays, and custom hook encapsulation.",12,rdm_demo_frontend_001
node_fe_2_2,"Context API, Zustand & State Management",Managing global client state without unnecessary re-renders.,13,rdm_demo_frontend_001
node_fe_3,"Modern CSS, Tailwind CSS & Design Systems","Build responsive design systems with tokens, CSS custom properties, and Tailwind utility classes.",18,rdm_demo_frontend_001
node_fe_4,"Client-Side Performance & Core Web Vitals (LCP, INP, CLS)","Code splitting, dynamic imports, image optimization, memoization, and bundle analysis.",14,rdm_demo_frontend_001
node_fe_5,Production Capstone: SaaS Interactive Dashboard,"Ship an end-to-end responsive application with dark mode, optimistic updates, and accessibility.",30,rdm_demo_frontend_001
node_ai_1,Linear Algebra & Calculus for Machine Learning,"Matrix operations, eigenvalues, partial derivatives, and gradient descent optimization.",20,rdm_demo_ai_002
node_ai_2,Data Wrangling with NumPy & Pandas,"Data cleansing, vectorization, exploratory data analysis, and feature engineering.",18,rdm_demo_ai_002
node_ai_3,PyTorch Deep Learning & Neural Networks,"Tensors, autograd, backpropagation, and constructing CNN/Transformer architectures.",28,rdm_demo_ai_002
node_ai_4,"LLMs, Vector Databases & RAG Pipelines","Embeddings, LangChain, LlamaIndex, ChromaDB/Pinecone, and hybrid search RAG systems.",24,rdm_demo_ai_002
