skill_id,name,description,estimated_hours,roadmap_id,parent_id,parent_title,node_type,category
ai_ml_fundamentals,Machine Learning Fundamentals,"Machine Learning Fundamentals: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",14,hermes_ai_ml,ai_statistics,Statistics for Machine Learning,skill,ai_ml
ai_deployment,Machine Learning Model Deployment,"Machine Learning Model Deployment: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",18,hermes_ai_ml,ai_sklearn,Scikit-learn Machine Learning,skill,ai_ml
ai_model_evaluation,Machine Learning Model Evaluation,"Machine Learning Model Evaluation: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",12,hermes_ai_ml,ai_supervised,Supervised Learning Algorithms,skill,ai_ml
ai_multimodal,Multimodal AI,"Multimodal AI: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",16,hermes_ai_ml,ai_transformers,Transformers and Attention Mechanisms,skill,ai_ml
computer_vision_14,Multimodal Vision,"Multimodal Vision: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",8,hermes_ai_ml,,,skill,ai_ml
ai_nlp,Natural Language Processing Fundamentals,"Natural Language Processing Fundamentals: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",16,hermes_ai_ml,ai_sequence,Sequence Models and Recurrent Neural Networks,skill,ai_ml
ai_numpy,NumPy for Machine Learning,"NumPy for Machine Learning: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",10,hermes_ai_ml,ai_python_ml,Python for Machine Learning,skill,ai_ml
computer_vision_11,OCR,"OCR: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",8,hermes_ai_ml,,,skill,ai_ml
computer_vision_6,Object Detection,"Object Detection: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",8,hermes_ai_ml,,,skill,ai_ml
computer_vision_3,OpenCV,"OpenCV: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",6,hermes_ai_ml,,,skill,ai_ml
ai_pandas,Pandas for Machine Learning,"Pandas for Machine Learning: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",12,hermes_ai_ml,ai_python_ml,Python for Machine Learning,skill,ai_ml
computer_vision_12,Pose Estimation,"Pose Estimation: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",8,hermes_ai_ml,,,skill,ai_ml
ai_probability,Probability Foundations for Machine Learning,"Probability Foundations for Machine Learning: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",12,hermes_ai_ml,,,skill,ai_ml
computer_vision_15,Production Computer Vision,"Production Computer Vision: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",8,hermes_ai_ml,computer_vision_14,Multimodal Vision,skill,ai_ml
generative_ai_19,Production Generative AI,"Production Generative AI: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",8,hermes_ai_ml,,,skill,ai_ml
ai_production,Production Generative AI Systems,"Production Generative AI Systems: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",18,hermes_ai_ml,ai_mlops,MLOps and Machine Learning Systems,skill,ai_ml
generative_ai_2,Prompt Engineering,"Prompt Engineering: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",6,hermes_ai_ml,,,skill,ai_ml
ai_pytorch,PyTorch Deep Learning Engineering,"PyTorch Deep Learning Engineering: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",18,hermes_ai_ml,ai_deep_learning,Deep Learning Fundamentals,skill,ai_ml
ai_python_ml,Python for Machine Learning,"Python for Machine Learning: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",12,hermes_ai_ml,,,skill,ai_ml
generative_ai_10,RAG,"RAG: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",8,hermes_ai_ml,,,skill,ai_ml
generative_ai_12,Reranking,"Reranking: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",8,hermes_ai_ml,,,skill,ai_ml
ai_rag,Retrieval-Augmented Generation,"Retrieval-Augmented Generation: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",18,hermes_ai_ml,ai_vector_db,Vector Databases,skill,ai_ml
ai_sklearn,Scikit-learn Machine Learning,"Scikit-learn Machine Learning: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",16,hermes_ai_ml,ai_model_evaluation,Machine Learning Model Evaluation,skill,ai_ml
ai_sequence,Sequence Models and Recurrent Neural Networks,"Sequence Models and Recurrent Neural Networks: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",14,hermes_ai_ml,ai_pytorch,PyTorch Deep Learning Engineering,skill,ai_ml
ai_statistics,Statistics for Machine Learning,"Statistics for Machine Learning: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",14,hermes_ai_ml,ai_probability,Probability Foundations for Machine Learning,skill,ai_ml
generative_ai_8,Structured Outputs,"Structured Outputs: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",8,hermes_ai_ml,,,skill,ai_ml
ai_supervised,Supervised Learning Algorithms,"Supervised Learning Algorithms: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",18,hermes_ai_ml,ai_ml_fundamentals,Machine Learning Fundamentals,skill,ai_ml
generative_ai_3,Tokenization,"Tokenization: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",6,hermes_ai_ml,,,skill,ai_ml
computer_vision_8,Transfer Learning,"Transfer Learning: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",8,hermes_ai_ml,,,skill,ai_ml
generative_ai_5,Transformers,"Transformers: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",8,hermes_ai_ml,generative_ai_1,Generative AI Fundamentals,skill,ai_ml
ai_transformers,Transformers and Attention Mechanisms,"Transformers and Attention Mechanisms: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",18,hermes_ai_ml,ai_nlp,Natural Language Processing Fundamentals,skill,ai_ml
ai_unsupervised,Unsupervised Learning,"Unsupervised Learning: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",14,hermes_ai_ml,ai_ml_fundamentals,Machine Learning Fundamentals,skill,ai_ml
ai_vector_db,Vector Databases,"Vector Databases: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",12,hermes_ai_ml,ai_embeddings,Embeddings and Semantic Search,skill,ai_ml
computer_vision_13,Video Understanding,"Video Understanding: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",8,hermes_ai_ml,,,skill,ai_ml
computer_vision_10,Vision Transformers,"Vision Transformers: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",8,hermes_ai_ml,computer_vision_1,Computer Vision Fundamentals,skill,ai_ml
csharp_9,.NET Fundamentals,".NET Fundamentals: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",8,hermes_backend,csharp_1,C# Fundamentals,skill,backend
be_documentation,API Documentation,"API Documentation: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",6,hermes_backend,be_rest,REST API Design,skill,backend
be_validation,API Validation,"API Validation: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",8,hermes_backend,be_routing,Server Routing and Middleware,skill,backend
csharp_10,ASP.NET Core,"ASP.NET Core: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",8,hermes_backend,csharp_1,C# Fundamentals,skill,backend
rust_15,Async Rust,"Async Rust: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",8,hermes_backend,rust_1,Rust Fundamentals,skill,backend
csharp_5,Async and Await,"Async and Await: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",8,hermes_backend,csharp_1,C# Fundamentals,skill,backend
be_auth,Authentication,"Authentication: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",10,hermes_backend,be_routing,Server Routing and Middleware,skill,backend
be_authorization,Authorization and RBAC,"Authorization and RBAC: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",8,hermes_backend,be_auth,Authentication,skill,backend
be_architecture,Backend Architecture,"Backend Architecture: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",14,hermes_backend,be_scaling,Backend Scaling,skill,backend
be_fundamentals,Backend Development Fundamentals,"Backend Development Fundamentals: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",10,hermes_backend,,,skill,backend
be_errors,Backend Error Handling,"Backend Error Handling: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",8,hermes_backend,be_routing,Server Routing and Middleware,skill,backend
be_observability,Backend Observability,"Backend Observability: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",10,hermes_backend,be_fundamentals,Backend Development Fundamentals,skill,backend
be_scaling,Backend Scaling,"Backend Scaling: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",12,hermes_backend,be_observability,Backend Observability,skill,backend
be_security,Backend Security,"Backend Security: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",12,hermes_backend,be_auth,Authentication,skill,backend
be_testing,Backend Testing,"Backend Testing: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",10,hermes_backend,be_routing,Server Routing and Middleware,skill,backend
rust_3,Borrowing,"Borrowing: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",6,hermes_backend,rust_1,Rust Fundamentals,skill,backend
csharp_1,C# Fundamentals,"C# Fundamentals: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",6,hermes_backend,,,skill,backend
go_16,CLI Development,"CLI Development: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",8,hermes_backend,,,skill,backend
php_15,Caching,"Caching: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",8,hermes_backend,,,skill,backend
rust_13,Cargo,"Cargo: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",8,hermes_backend,,,skill,backend
go_7,Channels,"Channels: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",8,hermes_backend,go_1,Go Fundamentals,skill,backend
java_3,Collections,"Collections: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",6,hermes_backend,java_1,Java Fundamentals,skill,backend
php_4,Composer,"Composer: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",6,hermes_backend,,,skill,backend
java_7,Concurrency,"Concurrency: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",8,hermes_backend,java_1,Java Fundamentals,skill,backend
be_docker,Containerized Backend Services,"Containerized Backend Services: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",10,hermes_backend,be_routing,Server Routing and Middleware,skill,backend
go_13,Database Access,"Database Access: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",8,hermes_backend,go_1,Go Fundamentals,skill,backend
be_indexes,Database Indexing,"Database Indexing: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",8,hermes_backend,be_postgres,PostgreSQL,skill,backend
rust_18,Database Integration,"Database Integration: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",8,hermes_backend,rust_1,Rust Fundamentals,skill,backend
be_transactions,Database Transactions,"Database Transactions: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",10,hermes_backend,be_postgres,PostgreSQL,skill,backend
nodejs_9,Databases,"Databases: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",8,hermes_backend,,,skill,backend
csharp_8,Delegates and Events,"Delegates and Events: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",8,hermes_backend,,,skill,backend
csharp_15,Dependency Injection,"Dependency Injection: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",8,hermes_backend,,,skill,backend
php_17,Deployment,"Deployment: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",8,hermes_backend,php_16,Security,skill,backend
be_distributed,Distributed Systems Fundamentals,"Distributed Systems Fundamentals: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",14,hermes_backend,be_microservices,Microservices,skill,backend
php_11,Eloquent ORM,"Eloquent ORM: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",8,hermes_backend,php_9,Laravel Fundamentals,skill,backend
csharp_12,Entity Framework Core,"Entity Framework Core: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",8,hermes_backend,csharp_9,.NET Fundamentals,skill,backend
go_5,Error Handling,"Error Handling: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",8,hermes_backend,go_1,Go Fundamentals,skill,backend
java_5,Exceptions,"Exceptions: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",8,hermes_backend,java_1,Java Fundamentals,skill,backend
nodejs_5,Express,"Express: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",8,hermes_backend,,,skill,backend
java_4,Generics,"Generics: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",6,hermes_backend,java_1,Java Fundamentals,skill,backend
go_1,Go Fundamentals,"Go Fundamentals: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",6,hermes_backend,,,skill,backend
go_6,Goroutines,"Goroutines: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",8,hermes_backend,go_1,Go Fundamentals,skill,backend
java_10,Gradle,"Gradle: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",8,hermes_backend,,,skill,backend
php_8,HTTP,"HTTP: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",8,hermes_backend,php_1,PHP Fundamentals,skill,backend
be_http,HTTP Fundamentals,"HTTP Fundamentals: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",8,hermes_backend,be_fundamentals,Backend Development Fundamentals,skill,backend
go_11,HTTP Servers,"HTTP Servers: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",8,hermes_backend,go_1,Go Fundamentals,skill,backend
java_15,JPA and Hibernate,"JPA and Hibernate: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",8,hermes_backend,java_11,Spring Fundamentals,skill,backend
be_json,JSON and Data Serialization,"JSON and Data Serialization: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",6,hermes_backend,be_fundamentals,Backend Development Fundamentals,skill,backend
java_8,JVM Fundamentals,"JVM Fundamentals: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",8,hermes_backend,java_1,Java Fundamentals,skill,backend
be_jwt,JWT Authentication,"JWT Authentication: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",8,hermes_backend,be_auth,Authentication,skill,backend
java_1,Java Fundamentals,"Java Fundamentals: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",6,hermes_backend,,,skill,backend
csharp_4,LINQ,"LINQ: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",6,hermes_backend,,,skill,backend
php_9,Laravel Fundamentals,"Laravel Fundamentals: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",8,hermes_backend,php_1,PHP Fundamentals,skill,backend
php_10,Laravel Routing,"Laravel Routing: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",8,hermes_backend,php_9,Laravel Fundamentals,skill,backend
rust_4,Lifetimes,"Lifetimes: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",6,hermes_backend,rust_1,Rust Fundamentals,skill,backend
java_9,Maven,"Maven: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",8,hermes_backend,,,skill,backend
be_queues,Message Queues,"Message Queues: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",10,hermes_backend,be_fundamentals,Backend Development Fundamentals,skill,backend
be_microservices,Microservices,"Microservices: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",14,hermes_backend,be_architecture,Backend Architecture,skill,backend
php_2,Modern PHP,"Modern PHP: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",6,hermes_backend,,,skill,backend
nodejs_2,Modules,"Modules: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",6,hermes_backend,,,skill,backend
rust_12,Modules and Crates,"Modules and Crates: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",8,hermes_backend,,,skill,backend
php_5,Namespaces,"Namespaces: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",8,hermes_backend,,,skill,backend
rust_17,Networking,"Networking: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",8,hermes_backend,,,skill,backend
be_oauth,OAuth 2.0 and OpenID Connect,"OAuth 2.0 and OpenID Connect: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",10,hermes_backend,be_jwt,JWT Authentication,skill,backend
be_orm,ORM and Data Access Patterns,"ORM and Data Access Patterns: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",10,hermes_backend,be_postgres,PostgreSQL,skill,backend
csharp_2,Object-Oriented C#,"Object-Oriented C#: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",6,hermes_backend,csharp_1,C# Fundamentals,skill,backend
java_2,Object-Oriented Java,"Object-Oriented Java: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",6,hermes_backend,java_1,Java Fundamentals,skill,backend
php_3,Object-Oriented PHP,"Object-Oriented PHP: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",6,hermes_backend,php_1,PHP Fundamentals,skill,backend
rust_2,Ownership,"Ownership: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",6,hermes_backend,rust_1,Rust Fundamentals,skill,backend
php_1,PHP Fundamentals,"PHP Fundamentals: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",6,hermes_backend,,,skill,backend
go_2,Packages,"Packages: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",6,hermes_backend,,,skill,backend
java_18,Performance,"Performance: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",8,hermes_backend,java_11,Spring Fundamentals,skill,backend
go_4,Pointers,"Pointers: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",6,hermes_backend,go_1,Go Fundamentals,skill,backend
be_postgres,PostgreSQL,"PostgreSQL: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",12,hermes_backend,be_sql,SQL Fundamentals,skill,backend
csharp_18,Production .NET,"Production .NET: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",8,hermes_backend,,,skill,backend
be_production,Production Backend Engineering,"Production Backend Engineering: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",16,hermes_backend,be_architecture,Backend Architecture,skill,backend
go_17,Production Go,"Production Go: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",8,hermes_backend,go_16,CLI Development,skill,backend
java_19,Production Java,"Production Java: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",8,hermes_backend,java_18,Performance,skill,backend
nodejs_15,Production Node.js,"Production Node.js: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",8,hermes_backend,,,skill,backend
php_18,Production PHP,"Production PHP: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",8,hermes_backend,php_17,Deployment,skill,backend
rust_22,Production Rust,"Production Rust: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",8,hermes_backend,,,skill,backend
go_15,Profiling,"Profiling: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",8,hermes_backend,go_14,gRPC,skill,backend
php_14,Queues,"Queues: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",8,hermes_backend,,,skill,backend
be_rest,REST API Design,"REST API Design: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",10,hermes_backend,be_http,HTTP Fundamentals,skill,backend
java_13,REST APIs,"REST APIs: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",8,hermes_backend,java_11,Spring Fundamentals,skill,backend
be_redis,Redis and Caching,"Redis and Caching: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",10,hermes_backend,be_fundamentals,Backend Development Fundamentals,skill,backend
be_resilience,Resilient Backend Systems,"Resilient Backend Systems: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",12,hermes_backend,be_distributed,Distributed Systems Fundamentals,skill,backend
rust_1,Rust Fundamentals,"Rust Fundamentals: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",6,hermes_backend,,,skill,backend
be_sql,SQL Fundamentals,"SQL Fundamentals: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",12,hermes_backend,be_fundamentals,Backend Development Fundamentals,skill,backend
php_16,Security,"Security: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",8,hermes_backend,php_1,PHP Fundamentals,skill,backend
be_routing,Server Routing and Middleware,"Server Routing and Middleware: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",8,hermes_backend,be_fundamentals,Backend Development Fundamentals,skill,backend
java_12,Spring Boot,"Spring Boot: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",8,hermes_backend,java_1,Java Fundamentals,skill,backend
java_11,Spring Fundamentals,"Spring Fundamentals: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",8,hermes_backend,java_1,Java Fundamentals,skill,backend
java_14,Spring Security,"Spring Security: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",8,hermes_backend,java_1,Java Fundamentals,skill,backend
java_6,Streams,"Streams: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",8,hermes_backend,,,skill,backend
rust_5,Structs and Enums,"Structs and Enums: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",8,hermes_backend,rust_1,Rust Fundamentals,skill,backend
go_3,Structs and Interfaces,"Structs and Interfaces: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",6,hermes_backend,go_1,Go Fundamentals,skill,backend
java_16,Testing,"Testing: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",8,hermes_backend,java_1,Java Fundamentals,skill,backend
rust_16,Tokio,"Tokio: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",8,hermes_backend,,,skill,backend
rust_6,Traits,"Traits: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",8,hermes_backend,rust_1,Rust Fundamentals,skill,backend
rust_19,Web Development,"Web Development: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",8,hermes_backend,rust_1,Rust Fundamentals,skill,backend
be_websockets,WebSockets,"WebSockets: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",10,hermes_backend,be_routing,Server Routing and Middleware,skill,backend
nodejs_13,Worker Threads,"Worker Threads: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",8,hermes_backend,,,skill,backend
go_14,gRPC,"gRPC: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",8,hermes_backend,,,skill,backend
